IRIS_CODE;POPULATION_ACTIVE;Elèv.Etud.Stag.non_rémunérés_15-64_ans;Retraités_ou_Pré__15-64_ans;Autres_inactifs_15-64_ans;CSP+;CSP-;Actifs_occ_15_ans_ou_plus_voiture;Actifs_occ_15_ans_ou_plus_TC;0-2_ans;3-5_ans;6-10_ans;11-17_ans;18-24_ans;25-39_ans;40-54_ans;55-64_ans;65-79_ans;80_ans_et_+;Enseignement_sup;Sans_diplôme_ou_CEP_ou_BEPC;CAP_BEP_BAC_PRO;Men_1_personne_;Men_Autres_sans_famille_;Men_fam_princ_Couple_sans_enfant_;Men_fam_princ_Couple_avec_enfants_;Men_fam_princ_Famille_mono_;Fam_Couple_avec_enfants_;Fam_Monoparentales_;Fam_Couple_sans_enfant_
930710110;0.8;0.37;0.25;0.38;0.48;0.52;0.51;0.39;0.04;0.05;0.08;0.09;0.07;0.19;0.24;0.11;0.1;0.03;0.29;0.33;0.38;0.25;0.01;0.31;0.56;0.13;0.54;0.14;0.32
940190105;0.79;0.5;0.19;0.31;0.53;0.47;0.64;0.27;0.03;0.03;0.05;0.09;0.09;0.17;0.22;0.12;0.12;0.07;0.29;0.35;0.36;0.3;0.02;0.38;0.5;0.12;0.49;0.13;0.38
751176513;0.8;0.66;0.08;0.25;0.85;0.15;0.16;0.54;0.04;0.04;0.06;0.06;0.1;0.23;0.2;0.09;0.1;0.06;0.76;0.1;0.15;0.44;0.05;0.41;0.45;0.14;0.45;0.14;0.41
930320105;0.82;0.5;0.23;0.27;0.56;0.43;0.47;0.43;0.06;0.06;0.07;0.09;0.07;0.22;0.22;0.09;0.08;0.04;0.35;0.29;0.36;0.25;0.02;0.26;0.6;0.14;0.6;0.14;0.26
751197409;0.77;0.35;0.17;0.48;0.34;0.66;0.11;0.73;0.04;0.04;0.06;0.06;0.08;0.18;0.19;0.14;0.15;0.06;0.22;0.45;0.33;0.36;0.05;0.29;0.34;0.37;0.34;0.38;0.29
920090111;0.78;0.57;0.23;0.2;0.84;0.16;0.29;0.54;0.02;0.04;0.06;0.09;0.09;0.21;0.21;0.11;0.09;0.08;0.61;0.12;0.27;0.4;0.02;0.41;0.41;0.18;0.41;0.18;0.42
940460304;0.82;0.5;0.26;0.24;0.73;0.27;0.36;0.54;0.03;0.03;0.04;0.06;0.07;0.24;0.2;0.1;0.16;0.06;0.51;0.2;0.29;0.41;0.01;0.45;0.44;0.11;0.43;0.12;0.45
774790103;0.81;0.4;0.34;0.25;0.73;0.27;0.47;0.45;0.04;0.04;0.05;0.07;0.06;0.23;0.21;0.14;0.12;0.05;0.45;0.21;0.34;0.29;0.01;0.48;0.43;0.08;0.43;0.08;0.48
786880103;0.79;0.42;0.39;0.19;0.87;0.13;0.75;0.12;0.03;0.03;0.06;0.08;0.05;0.19;0.21;0.18;0.15;0.02;0.64;0.1;0.25;0.35;0.01;0.53;0.39;0.09;0.38;0.09;0.53
751176511;0.85;0.67;0.06;0.26;0.81;0.19;0.16;0.52;0.03;0.02;0.05;0.04;0.12;0.25;0.21;0.09;0.14;0.05;0.76;0.1;0.15;0.55;0.02;0.48;0.41;0.11;0.41;0.11;0.48
953130103;0.76;0.51;0.27;0.22;0.71;0.29;0.7;0.19;0.02;0.03;0.06;0.09;0.08;0.12;0.2;0.14;0.21;0.06;0.49;0.22;0.29;0.28;0.01;0.44;0.42;0.14;0.42;0.15;0.43
786860102;0.79;0.64;0.15;0.21;0.82;0.18;0.38;0.51;0.05;0.04;0.08;0.08;0.07;0.22;0.18;0.11;0.11;0.05;0.62;0.12;0.26;0.35;0.01;0.36;0.5;0.14;0.5;0.13;0.36
915890101;0.82;0.33;0.33;0.34;0.61;0.39;0.41;0.51;0.04;0.04;0.05;0.07;0.06;0.25;0.18;0.14;0.11;0.06;0.38;0.26;0.36;0.46;0.01;0.42;0.36;0.22;0.36;0.22;0.42
751186914;0.88;0.59;0.14;0.27;0.81;0.19;0.09;0.6;0.04;0.03;0.04;0.04;0.08;0.34;0.23;0.06;0.09;0.05;0.67;0.11;0.22;0.53;0.04;0.46;0.41;0.13;0.41;0.13;0.46
940171202;0.69;0.45;0.07;0.48;0.26;0.74;0.3;0.65;0.05;0.04;0.09;0.14;0.09;0.16;0.18;0.1;0.11;0.03;0.16;0.48;0.37;0.33;0.03;0.2;0.48;0.32;0.47;0.33;0.2
751104009;0.86;0.66;0.13;0.21;0.85;0.15;0.06;0.67;0.02;0.02;0.04;0.03;0.14;0.38;0.18;0.08;0.07;0.03;0.69;0.15;0.17;0.59;0.05;0.58;0.26;0.16;0.26;0.16;0.58
940730106;0.8;0.5;0.3;0.2;0.64;0.36;0.57;0.31;0.03;0.04;0.06;0.07;0.08;0.17;0.18;0.15;0.16;0.07;0.4;0.19;0.41;0.34;0.01;0.4;0.48;0.13;0.47;0.13;0.4
920350103;0.84;0.51;0.18;0.31;0.81;0.19;0.26;0.57;0.03;0.04;0.08;0.07;0.07;0.27;0.21;0.1;0.1;0.03;0.61;0.17;0.23;0.44;0.02;0.37;0.47;0.16;0.47;0.16;0.37
930770107;0.83;0.57;0.2;0.23;0.59;0.41;0.44;0.49;0.04;0.03;0.06;0.07;0.07;0.2;0.21;0.11;0.13;0.09;0.44;0.19;0.37;0.42;0.01;0.4;0.44;0.17;0.44;0.17;0.39
920120202;0.82;0.62;0.14;0.24;0.8;0.2;0.24;0.5;0.04;0.02;0.03;0.06;0.11;0.26;0.19;0.1;0.14;0.06;0.66;0.1;0.24;0.53;0.04;0.5;0.35;0.15;0.35;0.15;0.5
940540105;0.74;0.43;0.2;0.37;0.46;0.54;0.61;0.25;0.03;0.05;0.06;0.09;0.09;0.15;0.21;0.14;0.14;0.04;0.24;0.36;0.41;0.29;0.01;0.36;0.46;0.18;0.46;0.18;0.36
751124506;0.81;0.57;0.15;0.28;0.83;0.17;0.2;0.61;0.02;0.03;0.05;0.08;0.1;0.19;0.22;0.13;0.12;0.06;0.69;0.12;0.19;0.53;0.02;0.42;0.4;0.18;0.4;0.18;0.42
930070109;0.76;0.46;0.1;0.44;0.18;0.82;0.45;0.5;0.04;0.07;0.1;0.12;0.11;0.2;0.18;0.08;0.09;0.01;0.11;0.5;0.39;0.21;0.01;0.17;0.47;0.37;0.46;0.38;0.16
952770102;0.74;0.37;0.08;0.55;0.22;0.78;0.33;0.59;0.08;0.05;0.11;0.11;0.11;0.17;0.19;0.1;0.06;0.03;0.12;0.45;0.43;0.22;0.03;0.14;0.49;0.38;0.48;0.39;0.13
